,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
9,Ryan Christie,183,Bournemouth,27," AM(CLR),FW  ",10(6),832,1.1,0.9,1,0,0.5,0.9,0.1,0,6.47
0,Matheus Nunes,161,Wolves,24, M(C)  ,13(2),1073,1.9,0.3,1.3,0,0.9,0.5,0.1,0,6.46
1,Romain Perraud,18,Southampton,25," D(L),M(L)  ",12(4),985,1.7,0.9,0.8,0.1,0.9,0.3,0.1,1,6.46
2,Ryan Sessegnon,30,Tottenham,22," D(L),M(LR)  ",8(6),703,1,0.4,0.9,0.1,1,0.4,0.1,0,6.45
3,Fred,32,Man Utd,29, M(C)  ,4(10),458,0.8,0.6,0.9,0,0.1,0.5,0,0,6.45
4,Conor Gallagher,15,Chelsea,22, AM(C)  ,7(8),547,1.3,0.5,0.9,0,0.5,0.3,0.1,0,6.45
5,Lewis Dunk,211,Brighton,31, D(C)  ,17,1530,0.6,1.1,0.6,0.5,3,0.4,0.7,1,6.44
6,Pablo Fornals,29,West Ham,26, M(CLR)  ,10(6),873,0.9,0.6,0.6,0,0.4,0.9,0,0,6.44
7,Matt Targett,23,Newcastle,27," D(L),M(L)  ",4(6),421,1.1,0.7,0.7,0,1,0.7,0.1,0,6.44
8,James Milner,26,Liverpool,37," D(LR),M(CLR)  ",4(8),464,0.8,0.6,0.5,0,0.7,1,0.2,0,6.44
9,Ezri Konsa,24,Aston Villa,25, D(CR)  ,17(1),1523,1.3,0.7,0.3,0.3,3.3,0.1,0.4,0,6.44
0,Chris Mepham,183,Bournemouth,25, D(C)  ,15,1342,1.6,0.8,0.8,0.4,5.7,0.3,1.1,1,6.44
1,Fábio Carvalho,26,Liverpool,20, AM(CL)  ,4(7),335,0.7,0.5,0.5,0,0,0.3,0,0,6.43
2,Kieffer Moore,183,Bournemouth,30, FW  ,10(8),939,0.6,0,1,0.1,0.9,0.6,0.3,0,6.42
3,Renan Lodi,174,Nottingham Forest,24," D(L),M(L)  ",9(1),743,1.7,1.2,1,0,1.6,0.5,0.3,0,6.42
4,Takehiro Tomiyasu,13,Arsenal,24, D(CLR)  ,4(9),451,1,0.9,0.4,0.2,0.9,0.2,0,0,6.40
5,Remo Freuler,174,Nottingham Forest,30, DMC  ,12(2),1104,1.8,1.2,1,0,1.5,0.8,0.4,0,6.40
6,Adama Traoré,161,Wolves,26," M(CLR),FW  ",6(9),742,0.5,0.1,0.5,0,0.3,0.1,0.1,0,6.40
7,Cristiano Ronaldo,32,Man Utd,37," M(L),FW  ",4(6),520,0.2,0.1,0.7,0,0.8,0.1,0,0,6.39
8,Mads Roerslev,189,Brentford,23," D(R),M(R)  ",8(2),702,1.1,0.3,0.1,0.1,1.8,0.8,0.4,0,6.39
9,Zanka,189,Brentford,32, D(C)  ,8(3),726,1.3,1.3,0.5,0.3,2.4,0.6,1,1,6.39
0,Gonçalo Guedes,161,Wolves,26," AM(CLR),FW  ",8(5),710,0.6,0.1,0.8,0,0.2,0.2,0,0,6.38
1,Harry Toffolo,174,Nottingham Forest,27," D(L),M(L)  ",6(4),611,1,0.6,0.3,0,2.1,0.2,0.3,0,6.38
