,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
4,Thiago Silva,15,Chelsea,38, D(C)  ,14(1),1343,0,2,0.5,0.2,0.1,0.5,0,0.1,0.1,7.00
5,Pascal Struijk,19,Leeds,23," D(CL),DMC  ",16,1435,2,1,0.8,0.8,0.6,0.5,0,0.4,1.2,7.00
6,Alisson,26,Liverpool,30, GK  ,17,1530,0,1,0,0.1,0,0.1,0,0,0,6.99
7,Alexis Mac Allister,211,Brighton,24," M(CL),FW  ",14(1),1285,5,0,1.9,0.9,0.6,1.4,0,0.9,0.9,6.99
8,David Raya,189,Brentford,27, GK  ,18,1620,0,0,0,0.1,0,0.1,0,0,0,6.98
9,Kenny Tete,170,Fulham,27," D(CR),M(R)  ",11(1),980,0,4,0.4,0.8,0.1,1.1,0,0.6,0.9,6.98
0,Marcus Rashford,32,Man Utd,25," AM(CLR),FW  ",15(2),1351,7,3,2.4,0.7,1.2,0.6,0.4,1.2,2,6.97
1,Ben Mee,189,Brentford,33, D(CL)  ,17,1480,2,1,0.6,0.2,0.1,0.4,0.1,0.1,0.7,6.97
2,Diogo Dalot,32,Man Utd,23," D(LR),M(R)  ",13(1),1187,0,1,0.9,1.5,0.6,0.2,0,0.3,0.8,6.96
3,Leandro Trossard,211,Brighton,28," M(CLR),FW  ",16,1326,7,2,2.4,1.4,0.7,0.8,0.3,1.7,2.4,6.96
4,Eberechi Eze,162,Crystal Palace,24, AM(CLR)  ,17,1356,3,3,1.9,1.8,1.7,1.8,0.1,1.6,2.2,6.94
5,Moisés Caicedo,211,Brighton,21, DMC  ,16,1428,1,1,0.8,1.1,0.3,1.3,0,0.7,1.3,6.94
6,Marcus Tavernier,183,Bournemouth,23, M(CLR)  ,15,1289,2,4,1.7,1,2,1.7,0.2,2,2.3,6.94
7,Wilfried Zaha,162,Crystal Palace,30," AM(LR),FW  ",16,1419,6,2,2.4,1.2,1.7,3.1,0.6,3.9,4.1,6.93
8,Rúben Neves,161,Wolves,25, DMC  ,17,1530,4,0,1.9,0.8,0.4,0.4,0,0.5,0.9,6.93
9,Gabriel Magalhães,13,Arsenal,25, D(C)  ,17,1530,2,0,1,0.1,0,1.1,0,0.2,0.5,6.93
0,Willian,170,Fulham,34, AM(CLR)  ,9(2),820,1,2,1.5,1.7,1,0.8,0.2,0.7,1.7,6.93
1,Pascal Groß,211,Brighton,31," M(CR),FW  ",17,1467,6,3,1.1,2.1,0.2,0.5,0.4,0.6,1.2,6.92
2,Ben White,13,Arsenal,25," D(CR),DMC  ",17,1383,0,2,0.3,0.8,0.3,0.8,0,0.3,0.8,6.92
3,Serge Aurier,174,Nottingham Forest,30," D(CLR),M(R)  ",9(1),786,1,0,0.4,0.4,0.3,1.2,0,1,0.9,6.92
4,Youri Tielemans,14,Leicester,25, M(C)  ,16(2),1383,3,1,1.2,1.1,0.6,0.7,0,0.4,1.3,6.92
5,Darwin Núñez,26,Liverpool,23," AM(CL),FW  ",10(3),874,5,2,4.2,1.2,0.4,0.6,0.8,0.8,1.8,6.91
6,James Tarkowski,31,Everton,30, D(C)  ,18,1620,0,0,0.7,0.4,0.1,0.5,0,0.1,0.6,6.91
7,Thiago,26,Liverpool,31, M(C)  ,11,893,0,0,0.7,1.2,1.2,2,0,1.2,0.9,6.91
8,Declan Rice,29,West Ham,23," D(C),DMC  ",18,1620,1,2,1.2,1.2,0.6,0.3,0,0.7,0.8,6.90
9,Mason Mount,15,Chelsea,23, M(CLR)  ,15(1),1201,3,2,1.6,1.3,0.9,1.3,0.1,1.3,1.8,6.90
0,James Ward-Prowse,18,Southampton,28, M(CR)  ,18,1620,3,2,0.9,2,0.2,0.5,0,0.8,0.7,6.90
1,Trent Alexander-Arnold,26,Liverpool,24," D(R),M(R)  ",15(2),1249,1,1,1,1.8,0.4,0.1,0.1,0.5,0.9,6.90
2,Nick Pope,23,Newcastle,30, GK  ,18,1620,0,0,0,0,0,0,0,0,0,6.90
3,Joachim Andersen,162,Crystal Palace,26, D(C)  ,16,1440,1,0,0.7,0.3,0.2,0.7,0,0.1,0.3,6.89
4,Callum Wilson,23,Newcastle,30, FW  ,11(2),889,6,2,2.3,0.8,0.2,1,0.8,0.8,2.4,6.88
5,Emiliano Martínez,24,Aston Villa,30, GK  ,16,1385,0,0,0,0.1,0,0.2,0,0,0.1,6.87
6,Luke Shaw,32,Man Utd,27," D(CL),M(L)  ",12(1),1056,1,1,0.4,1.2,0.1,0.7,0,0.2,0.8,6.87
7,Jordan Pickford,31,Everton,28, GK  ,17,1530,0,1,0,0.1,0,0,0,0.1,0.1,6.86
8,Rodrigo,19,Leeds,31," M(CLR),FW  ",15(1),1139,10,1,2.9,0.7,0.3,0.2,0.3,0.7,1.8,6.86
9,Ethan Pinnock,189,Brentford,29, D(C)  ,10,900,0,0,0.6,0.4,0.1,0.3,0,0.4,0.1,6.86
0,Lucas Paquetá,29,West Ham,25," M(CLR),FW  ",10(1),844,1,2,2.4,1,0.5,1.2,0.1,1.4,1.5,6.84
1,Joe Willock,23,Newcastle,23, M(C)  ,16(2),1356,2,2,1.6,0.9,0.6,0.6,0.2,0.9,2.1,6.83
2,Sven Botman,23,Newcastle,22, D(C)  ,15(1),1329,0,0,0.5,0.4,0,0.3,0,0,0.2,6.82
3,Kaoru Mitoma,211,Brighton,25, M(L)  ,5(7),569,3,1,0.8,0.9,1.2,0.5,0.2,1,1.2,6.82
4,Timothy Castagne,14,Leicester,27," D(CLR),M(LR)  ",16(1),1462,1,2,0.6,0.7,0.2,0.3,0.2,0.6,0.9,6.82
5,Cheick Oumar Doucouré,162,Crystal Palace,23, DMC  ,15,1234,0,1,1.1,0.9,0.4,0.4,0,0.8,0.7,6.82
6,Tomás Soucek,29,West Ham,27, DMC  ,17(1),1485,1,1,0.9,0.4,0.1,0.6,0.1,0.6,0.7,6.82
7,Oleksandr Zinchenko,13,Arsenal,26," D(L),M(CLR)  ",9(1),732,0,1,0.7,0.5,0.2,0.4,0,0.6,0.7,6.81
8,Allan Saint-Maximin,23,Newcastle,25," AM(CLR),FW  ",4(6),414,1,3,1.2,0.9,2,0.8,0.1,1.5,1,6.81
9,Andrew Robertson,26,Liverpool,28," D(L),M(L)  ",12(3),1061,0,5,0.3,1.9,0.5,0.3,0.1,0.5,1.2,6.80
0,Philip Billing,183,Bournemouth,26," M(C),FW  ",16(2),1323,4,1,0.9,0.6,0.4,0.9,0.2,1.4,1.3,6.80
1,Rúben Dias,167,Man City,25, D(C)  ,9(3),872,0,0,0.4,0.2,0.3,0.3,0,0,0,6.80
