,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
3,Kyle Walker,167,Man City,31,", D(CR),M(R)",28,2398,4,0.6,66.9,88.6,0.3,4.3,0,6.90,1
4,Reece James,15,Chelsea,21,", D(R),DMC,M(R)",16,1514,2,1,42.3,85.9,1.1,1.7,0,6.90,8
5,Jonny Evans,14,Leicester,33,", D(CL)",38,3386,1,0.2,65.6,86.8,0,3.1,0,6.90,0
6,N'Golo Kanté,15,Chelsea,30,", DMC",20,1733,0,1.2,51.5,84.9,0.5,1.8,0,6.90,2
7,Gerard Deulofeu,27,Watford,27,", AM(LR),FW",25,2109,5,1.6,25.8,80.2,0.5,0.8,0,6.90,3
8,Philip Billing,183,Bournemouth,25,", M(C)",29,2536,1,0.4,33.9,74.8,0,1.3,0,6.90,5
9,Dan Burn,211,Brighton,29,", D(CL),M(L)",33,2881,0,0.6,46.1,74.1,0.3,1.3,0,6.90,1
0,Lewis Dunk,211,Brighton,29,", D(C)",36,3231,3,0.4,62.5,87,0,4.6,0,6.89,0
1,Frédéric Guilbert,24,Aston Villa,26,", D(CLR),M(R)",22,2041,2,0.5,30,68.9,0.6,1.6,0,6.89,3
2,Oliver McBurnie,163,Sheff Utd,25,", AM(CL),FW",24,2121,0,0.3,17.1,60.5,0,0.3,0,6.89,12
3,Fabinho,26,Liverpool,27,", D(CR),DMC",22,2075,3,0.7,56.4,87,0.1,2.9,0,6.89,6
4,Romain Saïss,161,Wolves,31,", D(C),DMC",31,2706,1,0.4,49.3,78.4,0,4.1,0,6.88,2
5,Charlie Taylor,184,Burnley,28,", D(L),M(L)",22,1946,1,0.5,29.7,68.7,0.8,1.4,0,6.88,2
6,Bernd Leno,13,Arsenal,29,", GK",30,2650,0,0,26.7,72.3,0,2.5,0,6.88,0
7,Youri Tielemans,14,Leicester,24,", M(C)",32,2834,6,1.5,48.1,83,0.4,2.7,0.1,6.88,5
8,Ben Mee,184,Burnley,32,", D(CL)",32,2880,1,0.3,39.3,71.4,0,3.2,0,6.88,0
9,Fred,32,Man Utd,28,", M(C)",23,2189,0,1.2,57.5,87.5,0.5,3.8,0,6.87,6
0,Dele Alli,30,Tottenham,25,", M(CL),FW",21,1854,4,0.9,32.4,76.3,0,0.7,0.2,6.87,4
1,Dominic Calvert-Lewin,31,Everton,24,", AM(L),FW",30,2660,1,0.4,15.4,64,0.1,0.3,0,6.87,6
2,John Fleck,163,Sheff Utd,30,", DMC",28,2518,2,1.3,33.3,80.3,1.1,1.3,0.1,6.86,2
3,Phil Foden,167,Man City,21,", AM(CLR),FW",9,893,2,0.8,21.5,88.5,0.3,0.7,0,6.86,14
4,Matt Targett,24,Aston Villa,26,", D(L),M(L)",27,2298,2,1,33.8,72.6,0.8,1.8,0.1,6.86,1
5,Fernandinho,167,Man City,36,", D(CR),DMC",26,2399,1,0.3,74.1,89.8,0,4.4,0,6.86,4
6,Luke Shaw,32,Man Utd,26,", D(CL),M(L)",20,1764,0,0.8,47.6,87.4,0.4,0.5,0,6.85,4
7,Jorginho,15,Chelsea,29,", DMC",27,2384,2,0.7,72.8,88.4,0,4.3,0.2,6.85,4
8,Ross Barkley,15,Chelsea,27,", M(CLR)",13,1104,4,1.1,29.4,89,0.1,1.9,0.2,6.84,8
9,Dani Ceballos,13,Arsenal,25,", M(CL)",18,1699,2,1.2,52.1,87.9,0.4,3.2,0.1,6.84,6
0,Michael Keane,31,Everton,28,", D(CR)",28,2586,0,0.2,46.7,82.8,0,2.9,0,6.83,3
1,Pierre-Emile Højbjerg,18,Southampton,26,", M(C)",30,2751,1,0.9,55.2,78.1,0.3,3.2,0.1,6.83,3
2,Jan Bednarek,18,Southampton,25,", D(C)",34,3058,1,0.1,45.2,75.3,0,2.5,0,6.83,0
3,Yerry Mina,31,Everton,27,", D(C)",25,2282,1,0.2,46.9,83.8,0,3.7,0,6.83,4
4,Toby Alderweireld,30,Tottenham,32,", D(CR)",33,2958,2,0.3,59.9,81.7,0.1,4.3,0.1,6.82,0
5,Enda Stevens,163,Sheff Utd,31,", D(CL),M(L)",38,3347,4,0.9,38.7,74.9,0.5,1.8,0.1,6.82,0
6,Rúben Neves,161,Wolves,24,", DMC",35,3060,2,0.8,53.2,80.1,0.2,5.8,0.1,6.82,3
7,Oliver Norwood,163,Sheff Utd,30,", M(C)",37,3101,1,1.3,52.8,82.3,1.4,6.1,0,6.82,1
8,Christian Benteke,162,Crystal Palace,30,", FW",13,1259,1,0.8,14,54.3,0,0.3,0.1,6.81,11
9,Georginio Wijnaldum,26,Liverpool,30,", M(CLR)",35,2948,0,0.5,43.9,90.8,0,1.1,0,6.81,2
0,James McArthur,162,Crystal Palace,34,", M(CLR)",37,3105,3,0.9,38.6,78.5,0.2,1.7,0,6.81,0
1,Jonny,161,Wolves,27,", D(CLR),M(L)",33,2891,2,0.7,31.1,81.3,0.3,0.6,0,6.81,2
2,David McGoldrick,163,Sheff Utd,33,", AM(CLR),FW",22,1825,2,0.6,21.8,74.9,0.1,0.6,0,6.81,6
3,Nicolás Otamendi,167,Man City,33,", D(C)",18,1711,0,0.2,63.9,92.4,0,2.5,0,6.80,6
