,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
121,Tyrone Mings,24,Aston Villa,30, D(CL)  ,36,3195,2,0.2,46.6,77.9,0,3.7,0,6.81,2,4,1,0.5,2.5,0,0.2,0.5,0.1,0.1,0.5,0.9,1.1,0.6,0.4,4.7,0.2,1.1,1
122,Jonjo Shelvey,23,Newcastle,31, M(C)  ,29(1),2617,3,1.2,46.7,76.4,0.7,5.8,0,6.80,1,7,0,1.4,0.9,0,0.7,0.3,0,0.2,0.6,1.3,1.2,1,0,1.3,0.9,0.5,0
123,Leandro Trossard,211,Brighton,28," M(CLR),FW  ",30(5),2622,5,1.4,28.5,78.8,0.7,1.6,0,6.80,5,2,0,1.7,0.1,2,1.1,0.9,0.1,1.7,1.9,0.9,0.7,0.8,0,0.1,0.7,0.1,0
124,Joachim Andersen,170,Fulham,27, D(C)  ,30(1),2730,1,0.3,63.2,81.4,0,5.8,0,6.79,1,7,1,0.4,3.2,2,0.3,0.5,0,0.1,0.3,1.1,1.4,1.3,1.1,4.8,0.4,0.4,0
125,Karl Darlow,23,Newcastle,33, GK  ,25,2250,0,0,25.1,45.7,0,7.4,0,6.79,0,3,0,0,0.7,1,0,0.2,0,0,0,0,0,0,0,1.7,0,0,0
126,Rob Holding,13,Arsenal,28, D(CR)  ,28(2),2558,1,0.1,60.1,87,0,3.1,0,6.79,0,2,0,0.5,2.4,1,0.3,0.2,0.1,0.2,0.4,1.4,0.8,0.8,0.5,4,0.6,0.9,1
127,Anwar El Ghazi,24,Aston Villa,28," AM(LR),FW  ",17(11),1617,0,0.9,18.7,75.3,0.8,0.4,0,6.78,10,2,0,2.3,1,2,0.9,1,0.2,1.3,1.7,0.6,0.2,0.6,0,0.4,0.6,0,0
128,Abdoulaye Doucouré,31,Everton,30, M(C)  ,29,2452,3,0.7,46.2,85.1,0,1.3,0.1,6.78,2,6,0,0.6,1.3,0,0.7,0.4,0,0.9,1.2,1.8,1.3,0.8,0.1,0.9,1,0.2,0
129,Pablo Fornals,29,West Ham,27, M(CLR)  ,31(2),2583,4,0.9,32.1,79.4,0.2,0.8,0,6.78,5,3,0,1.5,0.7,1,0.9,0.5,0.2,0.6,1.1,1.3,1.1,0.8,0,0.2,1.9,0,0
130,Pierre-Emerick Aubameyang,13,Arsenal,34," M(CLR),FW  ",26(3),2337,3,0.8,21.5,78,0.3,0.4,0,6.78,10,2,0,2,1.2,1,0.4,0.6,0.6,0.7,1.3,0.4,0.2,0.4,0,0.5,0.6,0,1
131,Ben Godfrey,31,Everton,25, D(CLR)  ,29(2),2683,2,0.1,39.3,84.7,0.1,1.2,0,6.78,0,4,0,0.5,1.8,0,0.3,0.5,0.1,0.2,0.9,1.8,1.1,0.5,0.3,3.5,0.5,1.2,1
132,Ché Adams,18,Southampton,27," AM(CL),FW  ",30(6),2675,5,1,16.9,70.3,0,0.7,0.2,6.77,9,1,0,1.5,1.5,0,0.8,1.5,0.5,1.2,2.4,0.7,0.1,0.8,0.1,0.5,0.3,0.1,0
133,Adam Webster,211,Brighton,28, D(C)  ,29,2595,0,0.2,63.4,80.9,0,3.4,0,6.77,1,4,0,0.9,2.7,1,0.6,0.5,0,0.2,0.9,1,1.6,0.8,0.3,2.9,0.4,0.6,0
134,Kyle Bartley,175,WBA,32, D(C)  ,28(2),2584,1,0.2,27.6,77.1,0,1.7,0,6.77,3,4,0,0.5,3.6,1,0.1,0.3,0.2,0.1,0.3,0.9,1.3,1,0.5,5.3,0.4,1.2,0
135,Emile Smith Rowe,13,Arsenal,23, AM(CL)  ,18(2),1448,4,1.4,36.3,88.7,0.1,0.6,0.1,6.77,2,0,0,0.7,0.2,0,0.5,1,0.2,0.4,1.9,0.7,0.5,0.3,0,0.5,0.6,0.1,0
136,Allan,31,Everton,32, DMC  ,23(1),2052,0,0.7,44,85.6,0,2.4,0,6.77,0,6,0,0.3,0.2,0,1.3,1.3,0,0.8,0.9,3.3,0.8,1.5,0.1,1,2.8,0.5,0
137,Kyle Walker,167,Man City,33," D(CR),M(R)  ",22(2),1947,1,0.3,72.2,90.2,0.1,3.7,0,6.77,1,1,0,0.4,1.1,1,1,0.5,0,0.7,0.7,1.2,0.6,1,0.3,0.9,0.3,0.3,0
138,Josh Brownhill,184,Burnley,27, M(CR)  ,32(1),2816,1,0.5,35.5,78.3,0.1,1,0,6.76,0,2,0,1,2,0,0.5,1,0.1,0.5,1.1,1.4,2.1,1.1,0,1.1,0.9,0.3,0
