,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,sub
0,Erik Pieters,184,Burnley,33,", D(L),M(L)",21,1880,2.3,1.2,0.9,0.1,2,1.7,0.2,0,6.65,3
1,Kenny McLean,168,Norwich,29,", M(C)",32,2966,1.2,1,0.6,0.1,1.7,0.8,0.2,0,6.64,5
2,Erik Lamela,30,Tottenham,29,", AM(CLR)",12,1212,1,0.3,1.2,0,0.4,0.8,0.1,0,6.64,13
3,Craig Cathcart,27,Watford,32,", D(CR)",28,2490,1.4,0.9,0.4,0.6,4.6,0.5,0.6,0,6.63,1
4,Ainsley Maitland-Niles,13,Arsenal,24,", D(LR),M(CLR)",15,1383,2.1,1.4,0.8,0.2,1.6,1.1,0.2,0,6.63,5
5,Kelechi Iheanacho,14,Leicester,25,", AM(C),FW",12,963,0.2,0.2,1.2,0,0.4,0.4,0.1,0,6.63,8
6,Alex Oxlade Chamberlain,26,Liverpool,28,", M(CLR)",17,1493,0.6,0.7,0.6,0,0.3,0.5,0,1,6.63,13
7,Tyrone Mings,24,Aston Villa,28,", D(CL)",33,2903,0.5,0.9,0.6,0.5,5.7,0.1,1.5,0,6.63,0
8,Douglas Luiz,24,Aston Villa,23,", M(C)",28,2608,1.3,1,1.4,0,1.3,1.3,0.4,0,6.63,8
9,Rui Patrício,161,Wolves,33,", GK",38,3420,0,0.1,0,0,0.3,0.1,0,0,6.63,0
0,Will Hughes,27,Watford,26,", M(CLR)",27,2263,2.5,1.2,1.8,0,0.9,1.4,0.3,0,6.63,3
1,Issa Diop,29,West Ham,24,", D(C)",31,2766,0.8,1.5,1,1,5.1,0.3,0.7,0,6.62,1
2,Giovani Lo Celso,30,Tottenham,25,", M(CR),FW",15,1489,1.8,0.3,1,0,0.6,1.7,0.1,0,6.62,13
3,Alisson,26,Liverpool,29,", GK",29,2545,0,0,0,0,0.8,0.1,0,0,6.62,0
4,Lukasz Fabianski,29,West Ham,36,", GK",25,2119,0.1,0,0,0,0.8,0.1,0,0,6.62,0
5,Ederson,167,Man City,28,", GK",35,3072,0.1,0.1,0.1,0,0.7,0.1,0,0,6.62,0
6,Aaron Cresswell,29,West Ham,31,", D(CL),M(L)",31,2730,1.4,1.1,0.5,0.4,1.9,0.7,0.3,0,6.62,0
7,Tim Krul,168,Norwich,33,", GK",36,3240,0,0,0,0,0.9,0,0,1,6.61,0
8,Daniel James,32,Man Utd,23,", AM(LR),FW",26,2292,0.6,0.2,0.4,0,0.2,1.2,0.1,0,6.61,7
9,Jack Cork,184,Burnley,32,", DMC",30,2618,1.2,0.9,1.1,0,1.5,1.7,0.4,0,6.61,0
0,Jack Stephens,18,Southampton,27,", D(CR)",27,2453,1.6,1.1,0.5,0.5,4.1,0.8,0.8,0,6.60,1
1,Ryan Bertrand,18,Southampton,32,", D(CL),M(L)",31,2744,1.5,1.2,0.8,0.2,0.9,1,0.4,0,6.60,1
2,Trézéguet,24,Aston Villa,27,", AM(LR)",20,1951,1.1,0.7,1,0,0.4,1,0.1,0,6.59,14
3,Séamus Coleman,31,Everton,33,", D(CR),M(R)",21,1839,1.6,0.9,0.7,0.3,1.3,0.2,0.3,0,6.59,6
4,Javier Manquillo,23,Newcastle,27,", D(LR),M(R)",18,1602,1.9,0.9,0.9,0.1,2.3,0.7,0.1,0,6.59,3
5,Todd Cantwell,168,Norwich,23,", AM(LR)",30,2504,1.4,0.5,0.9,0,0.8,1.3,0.1,0,6.59,7
6,Jay Rodriguez,184,Burnley,32,", AM(CLR),FW",20,2011,0.8,0.1,0.7,0,0.3,0.7,0.2,0,6.59,16
7,David Luiz,13,Arsenal,34,", D(C),DMC",32,2811,0.8,1,0.9,0.5,3.8,0.3,1.1,0,6.58,1
8,Tom Heaton,24,Aston Villa,35,", GK",20,1795,0.2,0,0.1,0,0.6,0.1,0,1,6.57,0
9,Ryan Fraser,183,Bournemouth,27,", M(CLR),FW",21,2063,0.4,0.5,0.4,0,0.6,0.5,0.1,0,6.57,7
0,David de Gea,32,Man Utd,30,", GK",38,3450,0,0,0,0,0.4,0,0,0,6.57,0
1,Harry Winks,30,Tottenham,25,", DMC",26,2230,1.3,1.2,0.8,0,1,1.2,0.3,0,6.57,5
2,James Milner,26,Liverpool,35,", D(LR),M(CLR)",9,927,0.7,0.3,0.5,0.2,0.7,0.9,0.1,0,6.56,13
3,Alex Iwobi,31,Everton,25,", M(CLR)",19,1604,1,0.6,0.5,0,0.4,0.8,0.1,0,6.56,6
4,Bernard,31,Everton,29,", AM(CL)",15,1311,1.1,0.6,0.7,0,0.3,1.1,0.1,0,6.56,12
5,Adam Smith,183,Bournemouth,30,", D(LR),M(LR)",24,2060,2,1,1,0.2,2,1.1,0.3,0,6.56,0
6,Callum Hudson-Odoi,15,Chelsea,20,", M(LR)",7,852,0.5,0.2,0.5,0,0.2,0.3,0,0,6.56,15
7,Andros Townsend,162,Crystal Palace,30,", AM(LR),FW",14,1290,1.4,0.6,0.4,0,0.3,0.9,0,0,6.56,10
8,Marc Albrighton,14,Leicester,31,", M(LR)",9,864,1.2,0.5,0.4,0,0.4,1.1,0.1,0,6.55,11
9,Oriol Romeu,18,Southampton,30,", DMC",20,1860,1.8,1.1,1.3,0,1,1.6,0.4,0,6.55,10
0,Manuel Lanzini,29,West Ham,28,", M(CLR)",14,1378,0.6,0.4,0.3,0,0.1,1.3,0,0,6.55,10
1,Andreas Pereira,32,Man Utd,25,", M(CLR)",18,1490,1,0.3,1.1,0,0.2,1.2,0,0,6.55,7
2,Max Aarons,168,Norwich,21,", D(R)",36,3240,1.3,1,0.8,0.2,2,0.5,0.8,0,6.55,0
3,Jeff Hendrick,184,Burnley,29,", M(CR)",22,1935,0.8,0.8,0.7,0,0.6,0.8,0.3,0,6.55,2
4,Leandro Trossard,211,Brighton,26,", AM(CLR),FW",22,2016,0.7,0.3,0.5,0,0.2,1,0,0,6.54,9
5,Anwar El Ghazi,24,Aston Villa,26,", AM(LR),FW",26,2062,0.6,0.4,0.6,0,0.4,0.5,0,0,6.54,8
6,Teemu Pukki,168,Norwich,31,", AM(C),FW",33,2894,0.3,0.2,0.6,0,0.2,0.6,0,0,6.53,3
7,Kiko Femenía,27,Watford,30,", D(LR),M(R)",26,2244,2.4,1.3,0.9,0.2,1.6,1.3,0.1,0,6.53,2
8,Lucas Torreira,13,Arsenal,25,", DMC",17,1510,1.1,1.2,0.8,0,0.8,0.8,0.3,0,6.52,12
