,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
4,Matt Targett,24,Aston Villa,27,2298,1,2,4,0,0.3,72.6,1.3,1,6.86,1
5,Fernandinho,167,Man City,26,2399,0,1,7,2,0.6,89.8,2.5,0,6.86,4
6,Luke Shaw,32,Man Utd,20,1764,0,0,7,0,0.5,87.4,1.3,0,6.85,4
7,Jorginho,15,Chelsea,27,2384,4,2,10,0,0.4,88.4,0.5,2,6.85,4
8,Ross Barkley,15,Chelsea,13,1104,1,4,0,0,1.9,89,0.6,2,6.84,8
9,Dani Ceballos,13,Arsenal,18,1699,0,2,1,0,0.5,87.9,0.4,1,6.84,6
0,Michael Keane,31,Everton,28,2586,2,0,3,0,0.5,82.8,4.2,3,6.83,3
1,Pierre-Emile Højbjerg,18,Southampton,30,2751,0,1,5,0,1.4,78.1,1.7,1,6.83,3
2,Jan Bednarek,18,Southampton,34,3058,1,1,4,0,0.2,75.3,3.7,0,6.83,0
3,Yerry Mina,31,Everton,25,2282,2,1,3,0,1,83.8,3.9,1,6.83,4
4,Toby Alderweireld,30,Tottenham,33,2958,2,2,7,0,0.5,81.7,2.2,0,6.82,0
5,Enda Stevens,163,Sheff Utd,38,3347,2,4,7,0,0.6,74.9,0.8,0,6.82,0
6,Rúben Neves,161,Wolves,35,3060,2,2,9,0,1.6,80.1,0.8,1,6.82,3
7,Oliver Norwood,163,Sheff Utd,37,3101,1,1,8,0,0.4,82.3,1.2,2,6.82,1
8,Christian Benteke,162,Crystal Palace,13,1259,2,1,4,1,1.7,54.3,6,0,6.81,11
9,Georginio Wijnaldum,26,Liverpool,35,2948,4,0,0,0,1,90.8,0.8,0,6.81,2
0,James McArthur,162,Crystal Palace,37,3105,0,3,6,0,0.8,78.5,1.2,0,6.81,0
1,Jonny,161,Wolves,33,2891,2,2,4,0,0.5,81.3,1,1,6.81,2
2,David McGoldrick,163,Sheff Utd,22,1825,2,2,2,0,1.6,74.9,3,1,6.81,6
3,Nicolás Otamendi,167,Man City,18,1711,2,0,3,0,0.6,92.4,2.5,0,6.80,6
4,Ryan Fredericks,29,West Ham,25,2237,0,3,7,0,0.1,74.1,1.3,1,6.80,2
5,Adam Webster,211,Brighton,31,2670,3,1,4,0,0.5,83.1,3.6,0,6.79,0
6,Robert Snodgrass,29,West Ham,17,1513,5,5,4,0,0.9,77.8,0.6,1,6.79,7
7,Jan Vertonghen,30,Tottenham,19,1647,1,1,2,0,0.2,82.8,2.6,1,6.79,4
8,Ashley Westwood,184,Burnley,35,3150,2,6,9,0,0.4,78.7,0.5,1,6.79,0
9,George Baldock,163,Sheff Utd,38,3420,2,3,7,0,0.3,75.9,1,0,6.79,0
0,Granit Xhaka,13,Arsenal,30,2591,1,2,10,0,0.4,88.1,1.5,0,6.78,1
1,Joe Gomez,26,Liverpool,22,2000,0,0,7,0,0,88,2.5,0,6.78,6
2,Antonio Rüdiger,15,Chelsea,19,1711,2,0,3,0,0.6,86.8,2.9,1,6.77,1
3,Nick Pope,184,Burnley,38,3420,0,0,1,0,0,37.6,0.6,4,6.77,0
4,Ayoze Pérez,14,Leicester,26,2020,8,4,0,0,1.4,79.7,0.8,0,6.77,7
5,Mason Holgate,31,Everton,24,2084,0,3,5,0,0.4,84.2,1.6,2,6.77,3
6,Joshua King,183,Bournemouth,24,2020,6,4,0,0,1,72.3,2.3,1,6.76,2
7,Harvey Barnes,14,Leicester,24,2094,6,8,0,0,1.7,79.5,0.8,1,6.76,12
8,Diogo Jota,161,Wolves,27,2298,7,1,4,0,2,79.8,0.9,3,6.76,7
9,Wesley,24,Aston Villa,21,1790,5,1,3,0,1.7,71.8,3.3,1,6.76,0
0,Patrick van Aanholt,162,Crystal Palace,29,2511,3,2,0,0,0.9,81.2,0.6,2,6.76,0
1,Fabian Schär,23,Newcastle,18,1634,2,0,5,0,0.9,74.8,1.5,1,6.75,4
2,Nathan Aké,183,Bournemouth,29,2505,2,2,2,0,0.9,87.6,2.1,0,6.75,0
3,Andreas Christensen,15,Chelsea,21,1754,0,0,5,0,0.3,91.4,3.3,0,6.75,0
4,Angelo Ogbonna,29,West Ham,31,2787,2,0,4,0,0.4,76.2,3.3,0,6.74,0
5,Mason Greenwood,32,Man Utd,12,1313,10,1,0,0,1.3,86.3,0.2,1,6.73,19
